Date,Ozone AQI Value,AQI Category,Site Name,Site ID,Source
01-01-20,38,Good,Reseda,06-037-1201,AQS
01-02-20,36,Good,Glendora,06-037-0016,AQS
01-03-20,33,Good,Glendora,06-037-0016,AQS
01-04-20,35,Good,Reseda,06-037-1201,AQS
01-05-20,40,Good,Reseda,06-037-1201,AQS
01-06-20,42,Good,Pasadena,06-037-2005,AQS
01-07-20,32,Good,West Los Angeles,06-037-0113,AQS
01-08-20,34,Good,Santa Clarita,06-037-6012,AQS
01-09-20,35,Good,West Los Angeles,06-037-0113,AQS
01-10-20,31,Good,Santa Clarita,06-037-6012,AQS
01-11-20,33,Good,Lancaster-Division Street,06-037-9033,AQS
01-12-20,39,Good,West Los Angeles,06-037-0113,AQS
01/13/2020,41,Good,West Los Angeles,06-037-0113,AQS
01/14/2020,37,Good,West Los Angeles,06-037-0113,AQS
01/15/2020,36,Good,Reseda,06-037-1201,AQS
01/16/2020,39,Good,Glendora,06-037-0016,AQS
01/17/2020,38,Good,Santa Clarita,06-037-6012,AQS
01/18/2020,40,Good,Santa Clarita,06-037-6012,AQS
01/19/2020,37,Good,Santa Clarita,06-037-6012,AQS
01/20/2020,34,Good,West Los Angeles,06-037-0113,AQS
01/21/2020,39,Good,West Los Angeles,06-037-0113,AQS
01/22/2020,36,Good,Lancaster-Division Street,06-037-9033,AQS
01/23/2020,36,Good,Santa Clarita,06-037-6012,AQS
01/24/2020,32,Good,Santa Clarita,06-037-6012,AQS
01/25/2020,42,Good,Signal Hill (LBSH),06-037-4009,AQS
01/26/2020,44,Good,Signal Hill (LBSH),06-037-4009,AQS
01/27/2020,39,Good,Reseda,06-037-1201,AQS
01/28/2020,42,Good,Reseda,06-037-1201,AQS
01/29/2020,43,Good,Glendora,06-037-0016,AQS
01/30/2020,40,Good,Pasadena,06-037-2005,AQS
01/31/2020,36,Good,Reseda,06-037-1201,AQS
02-01-20,47,Good,Pasadena,06-037-2005,AQS
02-02-20,43,Good,Pasadena,06-037-2005,AQS
02-03-20,45,Good,Pasadena,06-037-2005,AQS
02-04-20,41,Good,Reseda,06-037-1201,AQS
02-05-20,32,Good,Glendora,06-037-0016,AQS
02-06-20,41,Good,Signal Hill (LBSH),06-037-4009,AQS
02-07-20,43,Good,West Los Angeles,06-037-0113,AQS
02-08-20,67,Moderate,Santa Clarita,06-037-6012,AQS
02-09-20,42,Good,Reseda,06-037-1201,AQS
02-10-20,41,Good,Reseda,06-037-1201,AQS
02-11-20,44,Good,Reseda,06-037-1201,AQS
02-12-20,43,Good,Pomona,06-037-1701,AQS
02/13/2020,45,Good,Reseda,06-037-1201,AQS
02/14/2020,49,Good,Santa Clarita,06-037-6012,AQS
02/15/2020,61,Moderate,Santa Clarita,06-037-6012,AQS
02/16/2020,77,Moderate,Pomona,06-037-1701,AQS
02/17/2020,71,Moderate,Pasadena,06-037-2005,AQS
02/18/2020,45,Good,West Los Angeles,06-037-0113,AQS
02/19/2020,49,Good,Pasadena,06-037-2005,AQS
02/20/2020,47,Good,Pasadena,06-037-2005,AQS
